year,month,day,vis
2007,10,1,9
2007,10,1,11
2007,10,1,9
2007,10,2,10
2007,10,2,9
2007,10,3,7
2007,10,3,11
2007,10,4,6
2007,10,4,9
2007,10,5,15
2007,10,5,12
2007,10,6,7
2007,10,7,15
2007,10,7,9
2007,10,8,15
2007,10,8,13
2007,10,9,11
2007,10,9,12
2007,10,10,7
2007,10,10,12
2007,10,10,16
2007,10,11,5
2007,10,11,24
2007,10,12,1
2007,10,12,8
2007,10,13,12
2007,10,14,12
2007,10,14,17
2007,10,15,9
2007,10,15,6
2007,10,16,8
2007,10,16,16
2007,10,17,6
2007,10,17,9
2007,10,17,12
2007,10,18,6
2007,10,18,12
2007,10,18,14
2007,10,19,21
2007,10,19,16
2007,10,19,11
2007,10,20,9
2007,10,20,8
2007,10,21,8
2007,10,21,9
2007,10,22,5
2007,10,22,8
2007,10,23,4
2007,10,23,6
2007,10,24,5
2007,10,24,8
2007,10,25,6
2007,10,25,5
2007,10,25,10
2007,10,26,7
2007,10,26,8
2007,10,26,10
2007,10,27,11
2007,10,27,14
2007,10,27,9
2007,10,28,7
2007,10,28,13
2007,10,29,12
2007,10,29,10
2007,10,30,7
2007,10,30,7
2007,10,31,5
2007,10,31,8
2007,11,1,6
2007,11,1,8
2007,11,2,8
2007,11,2,12
2007,11,2,10
2007,11,2,9
2007,11,3,19
2007,11,3,14
2007,11,4,12
2007,11,4,11
2007,11,4,14
2007,11,5,5
2007,11,5,16
2007,11,6,5
2007,11,6,8
2007,11,7,8
2007,11,7,7
2007,11,8,3
2007,11,8,7
2007,11,9,9
2007,11,9,20
2007,11,9,18
2007,11,10,15
2007,11,10,12
2007,11,10,11
2007,11,11,10
2007,11,11,11
2007,11,12,6
2007,11,12,11
2007,11,12,15
2007,11,13,6
2007,11,13,11
2007,11,14,7
2007,11,14,10
2007,11,15,12
2007,11,15,5
2007,11,15,6
2007,11,16,5
2007,11,16,12
2007,11,16,7
2007,11,17,9
2007,11,17,9
2007,11,18,5
2007,11,18,9
2007,11,18,7
2007,11,19,3
2007,11,19,9
2007,11,19,8
2007,11,20,4
2007,11,20,6
2007,11,20,8
2007,11,21,5
2007,11,21,7
2007,11,22,6
2007,11,22,5
2007,11,22,7
2007,11,23,5
2007,11,23,8
2007,11,24,7
2007,11,24,8
2007,11,25,5
2007,11,25,9
2007,11,26,9
2007,11,26,15
2007,11,26,7
2007,11,27,3
2007,11,27,11
2007,11,27,15
2007,11,28,9
2007,11,28,8
2007,11,28,11
2007,11,28,13
2007,11,29,5
2007,11,30,2
2007,11,30,5
