year,month,day,vis
2007,10,1,31
2007,10,1,27
2007,10,2,16
2007,10,2,14
2007,10,2,24
2007,10,3,33
2007,10,3,32
2007,10,4,24
2007,10,4,31
2007,10,5,5
2007,10,5,24
2007,10,6,5
2007,10,6,17
2007,10,7,35
2007,10,7,27
2007,10,8,29
2007,10,8,13
2007,10,9,31
2007,10,10,32
2007,10,10,26
2007,10,10,31
2007,10,11,8
2007,10,11,30
2007,10,12,13
2007,10,12,35
2007,10,13,7
2007,10,13,25
2007,10,14,35
2007,10,14,17
2007,10,15,30
2007,10,15,33
2007,10,16,28
2007,10,16,30
2007,10,17,24
2007,10,17,27
2007,10,18,14
2007,10,18,23
2007,10,18,26
2007,10,19,13
2007,10,19,25
2007,10,19,22
2007,10,20,19
2007,10,20,11
2007,10,20,21
2007,10,21,13
2007,10,21,14
2007,10,22,8
2007,10,22,11
2007,10,23,8
2007,10,23,12
2007,10,24,10
2007,10,24,15
2007,10,25,10
2007,10,25,16
2007,10,26,17
2007,10,27,15
2007,10,27,15
2007,10,27,18
2007,10,27,17
2007,10,28,16
2007,10,28,21
2007,10,29,18
2007,10,29,29
2007,10,30,15
2007,10,30,26
2007,10,31,19
2007,10,31,31
2007,11,1,13
2007,11,1,36
2007,11,2,28
2007,11,2,45
2007,11,3,36
2007,11,3,21
2007,11,3,26
2007,11,4,26
2007,11,4,25
2007,11,4,22
2007,11,5,37
2007,11,5,26
2007,11,6,29
2007,11,6,28
2007,11,7,33
2007,11,7,40
2007,11,8,30
2007,11,8,50
2007,11,9,45
2007,11,9,28
2007,11,9,63
2007,11,10,39
2007,11,10,35
2007,11,11,14
2007,11,11,27
2007,11,12,47
2007,11,12,33
2007,11,12,26
2007,11,13,37
2007,11,13,31
2007,11,14,20
2007,11,14,39
2007,11,15,18
2007,11,15,37
2007,11,16,10
2007,11,16,29
2007,11,16,28
2007,11,17,26
2007,11,17,29
2007,11,18,17
2007,11,18,21
2007,11,19,12
2007,11,19,12
2007,11,19,14
2007,11,20,7
2007,11,20,15
2007,11,20,12
2007,11,21,11
2007,11,21,13
2007,11,22,11
2007,11,22,12
2007,11,22,9
2007,11,23,7
2007,11,23,10
2007,11,24,9
2007,11,24,12
2007,11,25,10
2007,11,25,15
2007,11,26,29
2007,11,26,30
2007,11,27,3
2007,11,27,23
2007,11,27,27
2007,11,29,7
2007,11,29,6
2007,11,29,28
2007,11,30,6
2007,11,30,28
