"year","month","day","value"
2005,10,1,7.80265654648956
2005,10,2,8.16197183098592
2005,10,3,6.28379513014274
2005,10,4,5.84587155963303
2005,10,5,5.6180981595092
2005,10,6,5.03997378768021
2005,10,7,5.69128409846973
2005,10,8,7.96428571428571
2005,10,9,7.65228267667292
2005,10,10,6.10045662100457
2005,10,11,5.36389148737137
2005,10,12,4.92701998262381
2005,10,13,4.51400180668473
2005,10,14,4.91426344505066
2005,10,15,5.72577996715928
2005,10,16,6.31489015459723
2005,10,17,6.71976967370441
2005,10,18,6.83295454545455
2005,10,19,7.19170984455959
2005,10,20,7.15248962655602
2005,10,21,8.00604229607251
2005,10,22,8.17403314917127
2005,10,23,6.22163588390501
2005,10,24,6.13300492610837
2005,10,25,6.0036231884058
2005,10,26,5.54259401381427
2005,10,27,5.94551845342706
2005,10,28,7.58141382049245
2005,10,29,6.52533488642982
2005,10,30,6.44007989347537
2005,10,31,6.35583684950774
2005,11,1,9.02565930149679
2005,11,2,5.41644385026738
2005,11,3,5.55548705302096
2005,11,4,6.94894703254627
2005,11,5,6.33578104138852
2005,11,6,5.78849840255591
2005,11,7,5.90567484662577
2005,11,8,5.20567986230637
2005,11,9,5.35432569974555
2005,11,10,5.34025157232704
2005,11,11,4.80726600985222
2005,11,12,4.25641025641026
2005,11,13,4.23179692718771
2005,11,14,4.01534090909091
2005,11,15,5.53192771084337
2005,11,16,5.94912472647702
2005,11,17,6.55387114239307
2005,11,18,7.02880434782609
2005,11,19,5.79092159559835
2005,11,20,5.2960102960103
2005,11,21,4.82212257100149
2005,11,22,4.70070921985816
2005,11,23,6.80714285714286
2005,11,24,6.37716049382716
2005,11,25,6.16091281451141
2005,11,26,5.99330493000609
2005,11,27,5.13431833445265
2005,11,28,4.90944881889764
2005,11,29,2.82663150955834
2005,11,30,3.93890865954923
2006,10,1,8.50498084291188
2006,10,2,6.5297410776767
2006,10,3,7.16800643086817
2006,10,4,7.3294434470377
2006,10,5,7.38966836734694
2006,10,6,7.78957783641161
2006,10,7,7.5645896656535
2006,10,8,8.39579090291921
2006,10,9,8.48862199747155
2006,10,10,7.95279593318809
2006,10,11,6.96279069767442
2006,10,12,7.03581460674157
2006,10,13,7.29239230064161
2006,10,14,6.83396512509477
2006,10,15,6.90167516387473
2006,10,16,7.80939947780679
2006,10,17,8.63141278610892
2006,10,18,9.95269709543568
2006,10,19,6.46848137535817
2006,10,20,4.27244258872651
2006,10,21,5.03220973782772
2006,10,22,8.20714285714286
2006,10,23,3.63586956521739
2006,10,24,9.8498023715415
2006,10,25,4.85009733939001
2006,10,26,3.25252525252525
2006,10,27,8.23878205128205
2006,10,28,7.90790697674419
2006,10,29,6.22037914691943
2006,10,30,6.6728280961183
2006,10,31,6.33870967741935
2006,11,1,6.90855457227139
2006,11,2,6.57471264367816
2006,11,3,6.26963103122044
2006,11,4,6.46153846153846
2006,11,5,7.93349168646081
2006,11,6,7.94356846473029
2006,11,7,8.85525154457193
2006,11,8,9.50804828973843
2006,11,9,9.74265450861196
2006,11,10,8.52151639344262
2006,11,11,6.49343185550082
2006,11,12,5.97532556545579
2006,11,13,7.6769456681351
2006,11,14,5.72359550561798
2006,11,15,6.86136177194422
2006,11,16,4.40449438202247
2006,11,17,6.67234848484848
2006,11,18,1.95736793327155
2006,11,19,3.67448512585812
2006,11,20,8.8371335504886
2006,11,21,4.80906148867314
2006,11,22,5.67555147058824
2006,11,23,3.1157822191592
2006,11,24,2.55602536997886
2006,11,25,7.99756986634265
2006,11,26,9.71337946943483
2006,11,27,6.41322901849218
2006,11,28,5.80586592178771
2006,11,29,5.15526675786594
2006,11,30,4.62937062937063
2007,10,1,7.74714828897338
2007,10,2,8.3477508650519
2007,10,3,7.34982014388489
2007,10,4,6.83473684210526
2007,10,5,6.89319470699433
2007,10,6,7.28275862068966
2007,10,7,9.34324659231722
2007,10,8,9.78071539657854
2007,10,9,8.40639269406393
2007,10,10,9.44571428571428
2007,10,11,7.77335375191424
2007,10,12,6.50173913043478
2007,10,13,6.8541846419327
2007,10,14,8.81243731193581
2007,10,15,9.60024906600249
2007,10,16,8.65151515151515
2007,10,17,8.68342245989305
2007,10,18,8.65424610051993
2007,10,19,8.16045627376426
2007,10,20,6.50257731958763
2007,10,21,6.42054433713784
2007,10,22,5.99145299145299
2007,10,23,5.45919145690313
2007,10,24,5.46287519747235
2007,10,25,6.3420245398773
2007,10,26,7.12754716981132
2007,10,27,8.78673957621326
2007,10,28,8.15196850393701
2007,10,29,7.32364493322859
2007,10,30,6.17387616624258
2007,10,31,5.65233236151604
2007,11,1,5.85108086469175
2007,11,2,6.70601675552171
2007,11,3,7.8747461069736
2007,11,4,7.88873139617293
2007,11,5,6.44175824175824
2007,11,6,6.38014705882353
2007,11,7,6.59957776213934
2007,11,8,6.53983428935628
2007,11,9,10.8194622279129
2007,11,10,8.76524176594254
2007,11,11,8.34585824081981
2007,11,12,8.36835891381346
2007,11,13,6.86939571150097
2007,11,14,7.61124121779859
2007,11,15,7.90853658536585
2007,11,16,8.06453595574677
2007,11,17,6.2962962962963
2007,11,18,5.22532588454376
2007,11,19,5.56022584692597
2007,11,20,5.70693779904306
2007,11,21,5.39808306709265
2007,11,22,5.081875
2007,11,23,5.23594811612106
2007,11,24,6.32533825338253
2007,11,25,6.24269377382465
2007,11,26,6.1768826619965
2007,11,27,6.26846846846847
2007,11,28,3.84967320261438
2007,11,29,4.89080856945404
2007,11,30,4.6863309352518
2008,10,1,7.36723163841808
2008,10,2,9.0913140311804
2008,10,3,7.48795180722892
2008,10,4,8.9539641943734
2008,10,5,8.37179487179487
2008,10,6,8.72643678160919
2008,10,7,8.44230769230769
2008,10,8,7.27619047619048
2008,10,9,6.56470588235294
2008,10,10,5.89545454545455
2008,10,11,6.24723247232472
2008,10,12,6.23520710059172
